date,borough,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,new_cases,total_cases,new_deaths,total_deaths
2022-10-15,Barnet,-16,4,-4,-13,-10,0,27,135453,1,1007
2022-10-15,Westminster,-24,3,-30,-8,-18,0,13,73335,0,426
2022-10-15,Waltham Forest,-13,-3,-29,-19,-20,1,13,95577,1,663
2022-10-15,Lambeth,-23,-9,35,0,-4,0,8,118844,0,670
2022-10-14,Westminster,-37,-8,-20,-20,-39,7,13,73322,1,426
2022-10-14,Newham,-18,2,135,-17,-25,4,20,112907,0,813
2022-10-14,Southwark,-28,-5,-10,-25,-32,7,17,109436,0,512
2022-10-14,Ealing,-10,-6,-12,-24,-30,6,34,127253,0,898
2022-10-14,Harrow,-14,17,30,-9,-26,7,25,87943,1,697
2022-10-14,Barking And Dagenham,-15,10,29,-11,-29,3,12,72907,0,615
2022-10-14,Wandsworth,-26,-12,50,-18,-40,10,20,124336,0,635
2022-10-14,Hounslow,0,3,10,-7,-26,5,19,100583,0,736
2022-10-14,Camden,-30,-2,-4,-7,-41,9,17,78158,1,389
2022-10-14,Brent,-15,4,10,-17,-29,5,22,108853,0,946
2022-10-14,Tower Hamlets,-25,-3,-13,-32,-43,9,28,112693,0,502
2022-10-14,Greenwich,-6,6,-6,-4,-38,7,15,96751,1,619
2022-10-14,City Of London,-57,-59,-40,-34,-30,,32,95701,1,584
2022-10-14,Lewisham,-4,4,-7,-22,-39,8,26,102542,1,716
2022-10-14,Islington,-41,-15,-10,-65,-48,10,16,79818,0,408
2022-10-14,Merton,-26,-5,-25,-25,-34,7,17,77657,1,545
2022-10-14,Sutton,-17,4,6,-35,-38,7,24,78377,0,600
2022-10-14,Lambeth,-23,-6,40,-31,-37,9,28,118836,1,670
2022-10-14,Enfield,-21,-5,-2,-34,-30,5,8,102319,0,792
2022-10-14,Haringey,-20,-8,-13,-24,-40,6,14,88579,1,533
2022-10-14,Waltham Forest,-13,-5,-14,-29,-38,6,24,95564,1,662
2022-10-14,Bexley,-21,5,33,-31,-32,7,26,87017,0,769
2022-10-14,Kensington And Chelsea,-29,1,-21,-31,-40,8,9,48064,0,321
2022-10-14,Havering,-14,3,0,-18,-29,6,37,95547,1,1104
2022-10-14,Barnet,-19,-2,-1,-24,-32,7,42,135426,1,1006
2022-10-14,Redbridge,-17,-4,-19,-25,-38,6,18,105862,0,979
2022-10-14,Hillingdon,-12,-7,140,-4,-29,5,25,109253,0,834
2022-10-14,Bromley,-15,9,-5,-27,-40,8,41,117327,1,843
2022-10-14,Kingston Upon Thames,-23,-6,76,-18,-34,8,23,64549,0,425
2022-10-14,Richmond Upon Thames,-23,1,7,-29,-49,8,21,71639,0,402
2022-10-14,Croydon,-20,7,-7,-25,-30,6,34,133297,0,1098
2022-10-14,Hammersmith And Fulham,-33,-11,-13,-36,-45,8,9,67624,0,344
2022-10-14,Hackney,-25,-4,-5,-31,-38,8,32,95701,1,584
2022-10-13,Westminster,-28,-5,-10,-17,-36,6,10,73309,0,425
2022-10-13,Lambeth,-19,-10,39,-26,-33,6,16,118808,0,669
2022-10-13,Barnet,-18,-2,12,-22,-33,6,23,135384,0,1005
2022-10-13,Hammersmith And Fulham,-31,-10,-6,-35,-41,6,15,67615,0,344
2022-10-13,Hackney,-23,-4,0,-31,-34,5,21,95669,0,583
2022-10-13,Greenwich,-14,7,-1,-11,-38,6,15,96736,0,618
2022-10-13,Lewisham,-7,6,1,-22,-34,6,18,102516,0,715
2022-10-13,City Of London,-40,-45,-29,-23,-22,,21,95669,0,583
2022-10-13,Merton,-25,-11,-28,-26,-34,6,22,77640,0,544
2022-10-13,Croydon,-17,9,6,-24,-26,6,27,133263,0,1098
2022-10-13,Islington,-35,-13,-18,-63,-42,7,20,79802,0,408
2022-10-13,Tower Hamlets,-15,-4,-6,-27,-38,6,16,112665,0,502
2022-10-13,Sutton,-16,4,16,-37,-37,7,26,78353,0,600
2022-10-13,Enfield,-21,-5,5,-35,-31,4,22,102311,0,792
2022-10-13,Richmond Upon Thames,-24,1,9,-28,-45,8,11,71618,1,402
2022-10-13,Waltham Forest,-13,-1,-13,-27,-35,5,13,95540,2,661
2022-10-13,Haringey,-23,-8,-5,-24,-38,5,13,88565,0,532
2022-10-13,Havering,-13,5,1,-16,-26,5,27,95510,1,1103
2022-10-13,Bexley,-20,5,33,-28,-31,6,22,86991,0,769
2022-10-13,Brent,-10,3,27,-14,-29,4,22,108831,0,946
2022-10-13,Barking And Dagenham,-15,6,28,-8,-31,3,17,72895,0,615
2022-10-13,Kingston Upon Thames,-21,-6,,-17,-32,7,11,64526,1,425
2022-10-13,Harrow,-11,12,47,-7,-22,6,28,87918,1,696
2022-10-13,Kensington And Chelsea,-25,0,-20,-27,-39,6,17,48055,1,321
2022-10-13,Bromley,-15,7,5,-29,-34,7,51,117286,0,842
2022-10-13,Newham,-2,4,368,-16,-24,3,14,112887,0,813
2022-10-13,Southwark,-24,-8,-1,-22,-27,6,26,109419,0,512
2022-10-13,Wandsworth,-28,-14,3,-18,-36,8,23,124316,0,635
2022-10-13,Hillingdon,-10,-3,158,-4,-29,5,28,109228,2,834
2022-10-13,Ealing,-8,-4,11,-23,-29,5,30,127219,1,898
2022-10-13,Redbridge,-15,-7,-9,-29,-37,5,31,105844,0,979
2022-10-13,Camden,-27,-3,-8,-5,-37,6,24,78141,0,388
2022-10-13,Hounslow,-12,5,12,-13,-25,4,13,100564,1,736
2022-10-12,Harrow,-10,13,35,-6,-19,6,26,87890,0,695
2022-10-12,Enfield,-23,-8,2,-34,-31,5,28,102289,2,792
2022-10-12,Kensington And Chelsea,-24,0,-15,-26,-37,7,18,48038,0,320
2022-10-12,Haringey,5,-9,-13,-18,-39,6,18,88552,0,532
2022-10-12,Bromley,-15,5,3,-26,-34,8,36,117235,0,842
2022-10-12,Havering,-13,-3,-1,-20,-26,5,30,95483,0,1102
2022-10-12,City Of London,-40,-45,-19,-24,-30,,27,95648,0,583
2022-10-12,Richmond Upon Thames,-25,-3,7,-31,-46,8,16,71607,0,401
2022-10-12,Westminster,-28,-5,-7,-19,-36,6,18,73299,1,425
2022-10-12,Newham,-15,1,157,-18,-21,4,25,112873,1,813
2022-10-12,Southwark,-25,-9,3,-24,-31,6,31,109393,0,512
2022-10-12,Hounslow,-12,3,14,-11,-22,4,25,100551,0,735
2022-10-12,Camden,-27,-9,-1,-7,-36,7,17,78117,0,388
2022-10-12,Ealing,-5,-5,3,-22,-31,5,24,127189,0,897
2022-10-12,Sutton,-15,6,17,-35,-36,7,22,78327,1,600
2022-10-12,Merton,-25,-12,-20,-26,-32,6,25,77618,0,544
2022-10-12,Redbridge,-19,-4,-17,-25,-38,5,17,105813,0,979
2022-10-12,Croydon,-17,2,0,-24,-26,6,31,133236,0,1098
2022-10-12,Lambeth,-20,-10,46,-31,-32,7,25,118792,0,669
2022-10-12,Hillingdon,-10,-9,157,-3,-29,5,39,109200,0,832
2022-10-12,Greenwich,-19,5,-3,-9,-35,6,33,96721,0,618
2022-10-12,Kingston Upon Thames,-26,-5,,-22,-32,7,22,64515,1,424
2022-10-12,Brent,-14,2,16,-20,-29,4,36,108809,1,946
2022-10-12,Hammersmith And Fulham,-25,-11,-4,-34,-43,6,16,67600,0,344
2022-10-12,Tower Hamlets,-16,-7,-9,-29,-36,7,23,112649,0,502
2022-10-12,Bexley,-21,3,28,-31,-32,6,51,86969,2,769
2022-10-12,Hackney,-24,-9,10,-33,-35,7,27,95648,0,583
2022-10-12,Waltham Forest,-15,-3,-19,-28,-34,6,22,95527,2,659
2022-10-12,Lewisham,-4,4,3,-23,-32,7,19,102498,0,715
2022-10-12,Barnet,-18,-5,-3,-22,-33,7,44,135361,0,1005
2022-10-12,Wandsworth,-27,-16,3,-22,-35,8,34,124293,0,635
2022-10-12,Barking And Dagenham,-18,6,16,-17,-30,3,27,72878,0,615
2022-10-12,Islington,-35,-15,-11,-65,-43,8,22,79782,1,408
2022-10-11,Barking And Dagenham,-16,0,35,-10,-34,3,23,72851,0,615
2022-10-11,Merton,-24,-13,-10,-24,-33,7,35,77593,1,544
2022-10-11,Lewisham,-4,2,14,-21,-33,6,33,102479,1,715
2022-10-11,City Of London,-41,-47,-26,-26,-25,,24,95621,1,583
2022-10-11,Hackney,-28,-11,8,-35,-36,5,24,95621,1,583
2022-10-11,Ealing,-12,4,20,-20,-29,5,46,127165,0,897
2022-10-11,Kensington And Chelsea,-24,2,-15,-29,-37,6,16,48020,0,320
2022-10-11,Brent,-13,1,40,-20,-28,4,27,108773,0,945
2022-10-11,Bromley,-13,10,6,-27,-34,7,46,117199,0,842
2022-10-11,Sutton,-16,3,24,-35,-37,7,29,78305,1,599
2022-10-11,Islington,-36,-14,-1,-65,-43,7,24,79760,0,407
2022-10-11,Kingston Upon Thames,-24,-6,,-21,-32,6,22,64493,0,423
2022-10-11,Greenwich,-3,4,15,-5,-37,6,22,96688,0,618
2022-10-11,Harrow,-6,14,62,-5,-19,6,32,87864,2,695
2022-10-11,Southwark,-24,-9,6,-23,-30,6,23,109362,0,512
2022-10-11,Newham,-9,3,174,-18,-24,3,23,112848,0,812
2022-10-11,Enfield,-19,-10,18,-34,-32,4,23,102261,1,790
2022-10-11,Barnet,-21,-8,16,-23,-36,5,43,135317,0,1005
2022-10-11,Hillingdon,-9,-2,146,-2,-27,5,35,109161,3,832
2022-10-11,Hammersmith And Fulham,-28,-12,0,-33,-42,6,14,67584,0,344
2022-10-11,Havering,-14,2,8,-18,-26,5,35,95453,0,1102
2022-10-11,Lambeth,-19,-9,66,-28,-30,7,27,118767,2,669
2022-10-11,Tower Hamlets,-16,-3,8,-30,-37,6,21,112626,0,502
2022-10-11,Richmond Upon Thames,-25,0,13,-30,-47,8,28,71591,0,401
2022-10-11,Croydon,-15,7,15,-25,-28,6,37,133205,0,1098
2022-10-11,Camden,-25,-5,13,-7,-37,6,19,78100,0,388
2022-10-11,Wandsworth,-27,-18,12,-20,-35,8,25,124259,1,635
2022-10-11,Haringey,-23,-11,3,-27,-42,5,18,88534,0,532
2022-10-11,Bexley,-22,3,38,-32,-30,6,37,86918,0,767
2022-10-11,Westminster,-28,-6,-5,-18,-35,5,14,73281,0,424
2022-10-11,Redbridge,-14,-1,-5,-23,-39,5,17,105796,1,979
2022-10-11,Waltham Forest,-16,-4,-8,-28,-37,6,20,95505,1,657
2022-10-11,Hounslow,-9,4,27,-11,-26,4,25,100526,1,735
2022-10-10,Harrow,-5,17,68,-10,-24,7,34,87832,0,693
2022-10-10,Lambeth,-24,-11,69,-34,-38,9,25,118740,0,667
2022-10-10,Camden,-28,-13,23,-9,-44,9,31,78081,0,388
2022-10-10,Sutton,-18,4,33,-38,-39,7,29,78276,0,598
2022-10-10,Barking And Dagenham,-17,3,48,-17,-34,4,26,72828,0,615
2022-10-10,Hounslow,-5,7,24,-12,-28,5,26,100501,0,734
2022-10-10,Tower Hamlets,-19,-7,13,-28,-43,9,33,112605,0,502
2022-10-10,Wandsworth,-28,-16,15,-26,-42,10,20,124234,0,634
2022-10-10,Waltham Forest,-15,-3,-10,-31,-39,7,25,95485,0,656
2022-10-10,Havering,-14,2,5,-22,-29,6,37,95418,0,1102
2022-10-10,Richmond Upon Thames,-26,2,9,-32,-49,9,19,71563,0,401
2022-10-10,Croydon,-17,3,18,-24,-28,7,32,133168,0,1098
2022-10-10,Barnet,-23,-4,8,-28,-40,9,58,135274,0,1005
2022-10-10,Hammersmith And Fulham,-30,-13,8,-34,-46,9,17,67570,0,344
2022-10-10,Redbridge,-14,-5,-3,-28,-40,6,34,105779,0,978
2022-10-10,Hillingdon,-9,-1,175,-7,-30,6,34,109126,2,829
2022-10-10,Ealing,-15,5,17,-19,-32,6,37,127119,0,897
2022-10-10,Kingston Upon Thames,-18,-4,,-24,-36,9,21,64471,1,423
2022-10-10,City Of London,-50,-56,-32,-35,-34,,20,95597,0,582
2022-10-10,Hackney,-31,-9,11,-40,-42,8,20,95597,0,582
2022-10-10,Bromley,-18,7,5,-30,-39,9,47,117153,0,842
2022-10-10,Newham,-11,2,178,-12,-27,5,28,112825,0,812
2022-10-10,Southwark,-26,-7,6,-28,-34,8,31,109339,0,512
2022-10-10,Kensington And Chelsea,-25,3,-17,-27,-39,8,16,48004,0,320
2022-10-10,Brent,-13,4,44,-21,-30,5,33,108746,0,945
2022-10-10,Enfield,-20,-9,17,-37,-33,5,32,102238,1,789
2022-10-10,Islington,-40,-17,-12,-65,-49,10,19,79736,0,407
2022-10-10,Westminster,-28,-2,0,-19,-41,8,18,73267,0,424
2022-10-10,Merton,-24,-9,-6,-27,-35,7,26,77558,0,543
2022-10-10,Lewisham,-4,0,11,-25,-39,8,28,102446,1,714
2022-10-10,Greenwich,5,5,10,-4,-39,7,32,96666,0,618
2022-10-10,Haringey,-21,-10,-5,-29,-44,7,29,88516,0,532
2022-10-10,Bexley,-22,1,37,-31,-34,7,39,86881,0,767
2022-10-09,Hackney,-22,-11,8,-15,-12,-1,9,95577,1,582
2022-10-09,Southwark,-21,-3,9,-23,-3,-1,27,109308,1,512
2022-10-09,Barking And Dagenham,-17,-6,63,-3,-18,-1,26,72802,0,615
2022-10-09,Lewisham,-5,-4,25,-11,-13,-1,24,102418,0,713
2022-10-09,Hounslow,-2,10,24,10,-4,-1,15,100475,0,734
2022-10-09,City Of London,-18,-54,-32,-3,,,9,95577,1,582
2022-10-09,Hammersmith And Fulham,-31,-18,16,-31,-20,-1,9,67553,0,344
2022-10-09,Kingston Upon Thames,-17,-7,118,-5,-2,-1,20,64450,1,422
2022-10-09,Enfield,-24,-11,31,-19,-12,0,31,102206,1,788
2022-10-09,Camden,-18,-8,11,13,-16,-1,14,78050,0,388
2022-10-09,Harrow,-11,7,75,15,15,-1,32,87798,0,693
2022-10-09,Greenwich,1,4,5,8,-10,-1,33,96634,0,618
2022-10-09,Islington,4,-11,30,-45,-13,-1,28,79717,0,407
2022-10-09,Tower Hamlets,-13,-16,6,-14,-8,-1,28,112572,0,502
2022-10-09,Bromley,-14,6,19,-11,2,-1,40,117106,0,842
2022-10-09,Newham,3,-6,340,3,-1,-2,25,112797,0,812
2022-10-09,Merton,-21,-16,-1,-14,-12,-1,13,77532,1,543
2022-10-09,Wandsworth,-21,-15,2,-15,0,-1,26,124214,1,634
2022-10-09,Kensington And Chelsea,-29,-1,-12,-17,-20,-1,9,47988,0,320
2022-10-09,Ealing,-13,7,19,-7,-10,-1,29,127082,1,897
2022-10-09,Haringey,23,-12,-7,24,-25,-1,17,88487,0,532
2022-10-09,Hillingdon,-8,-9,159,4,-2,-1,41,109092,0,827
2022-10-09,Sutton,-22,-2,32,-26,-10,0,29,78247,0,598
2022-10-09,Havering,-13,1,28,0,-1,-1,32,95381,0,1102
2022-10-09,Barnet,-18,-1,16,-12,-8,0,24,135216,2,1005
2022-10-09,Waltham Forest,-12,-7,8,-16,-16,0,29,95460,0,656
2022-10-09,Lambeth,-21,-8,69,-4,-6,-1,22,118715,0,667
2022-10-09,Brent,-11,1,45,-12,-9,-1,24,108713,0,945
2022-10-09,Bexley,-21,-2,51,-23,-9,0,23,86842,0,767
2022-10-09,Croydon,-6,3,18,-11,-6,0,35,133136,1,1098
2022-10-09,Redbridge,-16,-11,6,-13,-14,-1,28,105745,0,978
2022-10-09,Westminster,-19,0,-2,5,-17,-1,12,73249,0,424
2022-10-09,Richmond Upon Thames,-22,-7,9,-31,-19,-2,21,71544,0,401
2022-10-08,Merton,-21,-8,0,-11,-12,-1,13,77519,0,542
2022-10-08,Barnet,-15,6,19,-8,-10,0,26,135192,0,1003
2022-10-08,Havering,-13,2,15,-10,-2,0,21,95349,0,1102
2022-10-08,Newham,-20,-4,121,-18,-2,-1,13,112772,0,812
2022-10-08,Wandsworth,-27,-14,9,-25,-8,0,31,124188,1,633
2022-10-08,Tower Hamlets,-12,-3,6,-11,-11,0,18,112544,0,502
2022-10-08,Croydon,-17,6,28,-33,-11,0,30,133101,0,1097
2022-10-08,Waltham Forest,-15,-2,-18,-21,-19,0,14,95431,0,656
2022-10-08,Haringey,-18,-10,-6,-21,-26,0,19,88470,0,532
2022-10-08,Kensington And Chelsea,-27,12,-5,-12,-19,0,9,47979,0,320
2022-10-08,Southwark,-21,-6,6,-27,-5,-1,18,109281,0,511
2022-10-08,Islington,-32,-5,15,-53,-13,0,15,79689,0,407
2022-10-08,Hackney,-23,-6,5,-36,-17,0,16,95568,0,581
2022-10-08,Redbridge,-15,-8,-11,-13,-13,-1,14,105717,0,978
2022-10-08,Kingston Upon Thames,-15,0,89,-22,1,0,13,64430,0,421
2022-10-08,Enfield,-20,-8,22,-34,-15,0,21,102175,1,787
2022-10-08,Bexley,-19,3,62,-31,-11,0,20,86819,0,767
2022-10-08,City Of London,-28,-51,-30,-27,,,16,95568,0,581
2022-10-08,Hillingdon,-7,-5,168,9,-8,-1,29,109051,0,827
2022-10-08,Ealing,-15,5,29,-9,-12,0,35,127053,0,896
2022-10-08,Bromley,-12,11,12,-40,-1,1,27,117066,1,842
2022-10-08,Hammersmith And Fulham,-24,-6,28,-28,-22,0,21,67544,0,344
2022-10-08,Richmond Upon Thames,-19,1,0,-32,-14,0,22,71523,0,401
2022-10-08,Westminster,-27,-1,-24,-18,-19,0,14,73237,0,424
2022-10-08,Harrow,-8,16,84,8,7,0,21,87766,0,693
2022-10-08,Hounslow,-7,13,16,8,-3,-1,9,100460,1,734
2022-10-08,Lewisham,0,0,9,-21,-18,0,30,102394,0,713
2022-10-08,Barking And Dagenham,-17,1,49,-5,-19,-1,14,72776,0,615
2022-10-08,Greenwich,-13,6,-12,4,-12,0,15,96601,0,618
2022-10-08,Camden,-24,-8,-1,-19,-9,1,29,78036,0,388
2022-10-08,Sutton,-17,4,35,-39,-13,0,13,78218,0,598
2022-10-08,Lambeth,-21,-8,56,-29,-2,-1,12,118693,0,667
2022-10-08,Brent,-11,0,46,-14,-12,0,19,108689,0,945
2022-10-07,Haringey,-20,-10,-7,-22,-40,6,18,88451,0,532
2022-10-07,Croydon,-21,6,1,-24,-28,6,42,133071,0,1097
2022-10-07,Brent,23,3,36,1,-30,5,36,108670,0,945
2022-10-07,Enfield,-21,-7,1,-34,-31,5,18,102154,1,786
2022-10-07,Hounslow,-11,3,8,-11,-26,5,23,100451,0,733
2022-10-07,Tower Hamlets,-24,-2,-9,-28,-42,8,21,112526,0,502
2022-10-07,City Of London,-54,-59,-40,-30,-37,,21,95552,0,581
2022-10-07,Havering,-13,4,9,-18,-30,5,28,95328,1,1102
2022-10-07,Barnet,-19,-1,7,-22,-32,7,33,135166,1,1003
2022-10-07,Camden,-33,-6,3,-7,-40,8,29,78007,0,388
2022-10-07,Waltham Forest,-14,-5,-14,-29,-37,6,24,95417,1,656
2022-10-07,Westminster,-37,-8,-18,-20,-40,7,18,73223,0,424
2022-10-07,Lewisham,-3,2,-2,-21,-38,7,23,102364,0,713
2022-10-07,Barking And Dagenham,-17,7,32,-12,-29,3,19,72762,0,615
2022-10-07,Hillingdon,-11,-3,137,0,-29,5,41,109022,1,827
2022-10-07,Bexley,-20,3,41,-32,-32,6,26,86799,1,767
2022-10-07,Islington,-39,-15,-1,-63,-48,10,21,79674,1,407
2022-10-07,Richmond Upon Thames,-25,0,8,-31,-48,8,17,71501,0,401
2022-10-07,Redbridge,-14,-7,-9,-26,-39,6,24,105703,0,978
2022-10-07,Sutton,-16,4,19,-36,-39,7,26,78205,0,598
2022-10-07,Hammersmith And Fulham,-29,-13,1,-35,-46,8,20,67523,0,344
2022-10-07,Ealing,-17,2,5,-23,-31,5,38,127018,0,896
2022-10-07,Southwark,-26,-6,-3,-21,-33,7,26,109263,1,511
2022-10-07,Bromley,-15,10,6,-25,-39,8,41,117039,0,841
2022-10-07,Wandsworth,-27,-12,5,-19,-40,10,23,124157,0,632
2022-10-07,Greenwich,-20,4,-3,-5,-38,7,25,96586,0,618
2022-10-07,Harrow,-13,13,41,-6,-25,6,39,87745,0,693
2022-10-07,Newham,-17,1,143,-16,-24,4,13,112759,0,812
2022-10-07,Lambeth,-25,-7,48,-30,-37,8,22,118681,0,667
2022-10-07,Merton,-26,-7,-15,-24,-34,7,22,77506,0,542
2022-10-07,Kensington And Chelsea,-29,-1,-20,-25,-41,8,11,47970,0,320
2022-10-07,Hackney,-26,-3,0,-32,-38,7,21,95552,0,581
2022-10-07,Kingston Upon Thames,-22,-5,,-21,-34,8,23,64417,0,421
2022-10-06,Havering,-11,9,13,-18,-25,5,24,95300,2,1101
2022-10-06,Bromley,-11,9,11,-29,-33,7,51,116998,0,841
2022-10-06,Barking And Dagenham,-15,9,41,-11,-31,3,20,72743,1,615
2022-10-06,Hillingdon,-7,0,160,-1,-29,5,38,108981,0,826
2022-10-06,Bexley,-20,6,40,-28,-30,5,29,86773,0,766
2022-10-06,Barnet,-16,3,19,-21,-29,6,42,135133,0,1002
2022-10-06,Harrow,-6,12,58,-8,-20,5,45,87706,0,693
2022-10-06,Richmond Upon Thames,-19,2,24,-28,-44,7,25,71484,1,401
2022-10-06,Westminster,-30,-5,-7,-22,-35,5,13,73205,0,424
2022-10-06,Croydon,-14,9,16,-24,-25,5,33,133029,0,1097
2022-10-06,Wandsworth,-26,-12,5,-18,-35,7,41,124134,2,632
2022-10-06,Sutton,-15,5,22,-35,-36,6,20,78179,0,598
2022-10-06,Newham,-19,2,156,-22,-22,3,28,112746,0,812
2022-10-06,Lambeth,-22,-10,59,-28,-31,6,35,118659,1,667
2022-10-06,Haringey,-17,-7,0,-22,-37,5,26,88433,1,532
2022-10-06,Redbridge,-11,-7,0,-29,-37,5,20,105679,0,978
2022-10-06,Greenwich,-12,9,6,-12,-37,6,22,96561,0,618
2022-10-06,Brent,-11,4,37,-18,-28,4,28,108634,0,945
2022-10-06,Camden,-27,-4,2,-9,-34,6,20,77978,0,388
2022-10-06,Kensington And Chelsea,-26,3,-15,-28,-37,5,19,47959,1,320
2022-10-06,Kingston Upon Thames,-20,-2,,-16,-30,7,30,64394,1,421
2022-10-06,City Of London,-39,-44,-29,-27,-23,,24,95531,0,581
2022-10-06,Tower Hamlets,-17,-1,7,-31,-36,6,29,112505,0,502
2022-10-06,Waltham Forest,-13,0,0,-25,-35,5,20,95393,0,655
2022-10-06,Hounslow,-9,7,22,-13,-24,4,23,100428,1,733
2022-10-06,Hackney,-20,-1,6,-27,-32,5,24,95531,0,581
2022-10-06,Enfield,-20,-4,19,-32,-31,4,27,102136,0,785
2022-10-06,Merton,-22,-11,-20,-26,-33,6,32,77484,1,542
2022-10-06,Ealing,-12,8,17,-20,-29,4,34,126980,0,896
2022-10-06,Southwark,-21,-7,3,-25,-25,5,34,109237,0,510
2022-10-06,Islington,-11,-9,-1,-56,-41,6,28,79653,0,406
2022-10-06,Lewisham,-2,4,16,-22,-33,6,27,102341,1,713
2022-10-06,Hammersmith And Fulham,-28,-9,4,-35,-42,6,15,67503,0,344
2022-10-05,Croydon,-16,3,-11,-37,-32,9,35,132996,0,1097
2022-10-05,Barnet,-23,-11,-20,-28,-41,8,31,135091,0,1002
2022-10-05,Ealing,-13,3,-10,-23,-35,7,38,126946,0,896
2022-10-05,Lewisham,-1,7,-3,-36,-42,11,28,102314,0,712
2022-10-05,Hammersmith And Fulham,-10,-13,-8,-37,-47,9,10,67488,0,344
2022-10-05,Haringey,-27,-10,-25,-39,-43,8,25,88407,2,531
2022-10-05,Tower Hamlets,-29,-10,-21,-38,-41,9,26,112476,0,502
2022-10-05,Westminster,-41,-17,-31,-43,-40,8,19,73192,0,424
2022-10-05,Havering,-12,1,-4,-28,-31,7,34,95276,0,1099
2022-10-05,Greenwich,-17,8,-15,-9,-42,9,27,96539,0,618
2022-10-05,Merton,-24,-12,-28,-28,-35,9,41,77452,0,541
2022-10-05,Newham,-21,0,121,-27,-25,6,27,112718,0,812
2022-10-05,Redbridge,-15,-4,-20,-26,-42,7,31,105659,1,978
2022-10-05,Hounslow,-12,3,4,-15,-25,6,27,100405,0,732
2022-10-05,Enfield,-23,-6,-4,-42,-36,7,37,102109,0,785
2022-10-05,Kensington And Chelsea,-28,-3,-26,-28,-40,9,9,47940,0,319
2022-10-05,City Of London,-62,-60,-52,-50,-34,,23,95507,0,581
2022-10-05,Waltham Forest,-14,-2,-28,-31,-39,8,28,95373,0,655
2022-10-05,Southwark,-32,-11,-15,-45,-36,9,21,109203,0,510
2022-10-05,Islington,-45,-18,-21,-71,-48,11,16,79625,1,406
2022-10-05,Bexley,-19,6,20,-49,-40,10,38,86744,0,766
2022-10-05,Bromley,-12,11,-1,-49,-46,13,59,116947,0,841
2022-10-05,Hillingdon,-5,-2,125,-2,-32,6,39,108943,1,826
2022-10-05,Barking And Dagenham,-18,6,13,-23,-34,5,17,72723,0,614
2022-10-05,Harrow,-10,13,28,-9,-25,8,30,87661,0,693
2022-10-05,Hackney,-33,-9,-7,-48,-41,8,23,95507,0,581
2022-10-05,Wandsworth,-27,-14,-1,-34,-40,11,28,124093,1,630
2022-10-05,Sutton,-17,8,3,-43,-41,9,24,78159,0,598
2022-10-05,Brent,-15,3,0,-27,-33,6,29,108606,0,945
2022-10-05,Lambeth,-27,-9,19,-45,-36,10,27,118624,0,666
2022-10-05,Kingston Upon Thames,-25,-8,,-31,-38,10,16,64364,0,420
2022-10-05,Camden,-40,-20,-17,-43,-41,10,22,77958,1,388
2022-10-05,Richmond Upon Thames,-28,-3,-8,-41,-50,11,18,71459,1,400
